article_id,norm_char_count,norm_word_count,norm_paragraph_count,noun_density,verb_density,adj_density,category,compound
1,-0.3733926096948357,-0.38115391662415543,-0.1824383440577753,0.4306569343065693,0.20437956204379562,0.24817518248175183,4,0.9081
10,-0.30755775292243764,-0.3168403071066919,-0.004005554303506965,0.47770700636942676,0.2484076433121019,0.14012738853503184,2,-0.6808
100,0.08062406923184992,0.0465315866669769,-0.628520318443446,0.4962962962962963,0.25925925925925924,0.14074074074074075,3,0.9879
1003,-0.30804541852815914,-0.3297030290101846,-0.3608711338120436,0.42483660130718953,0.20915032679738563,0.2222222222222222,2,0.9325
1004,-0.20368497890376522,-0.22036989283049666,-0.8961695030748486,0.5026737967914439,0.19786096256684493,0.13903743315508021,4,0.9821
1005,0.3278705313326336,0.31343306616445044,0.7989419995907004,0.49575070821529743,0.1813031161473088,0.18980169971671387,0,0.8211
1006,-0.24318589296720403,-0.27182078044446745,0.2636436303278955,0.5263157894736842,0.22807017543859648,0.15789473684210525,1,-0.9928
1007,-0.734265157928721,-0.7638198932530633,-0.8961695030748486,0.3888888888888889,0.2777777777777778,0.16666666666666666,2,0.29600000000000004
1008,0.2722766522803864,0.2941389833092114,0.4420764200821638,0.4956772334293948,0.207492795389049,0.1786743515850144,2,-0.8074
101,-0.5226182850456045,-0.55801634279718,-0.539303923566312,0.5609756097560976,0.2073170731707317,0.17073170731707318,1,0.91
1010,-0.5723601768291942,-0.6191142718387704,-0.45008752868917773,0.4444444444444444,0.3333333333333333,0.06349206349206349,2,0.0772
1011,-0.5216429538341616,-0.5355065794660678,-0.628520318443446,0.449438202247191,0.2247191011235955,0.16853932584269662,0,0.8481
1012,0.10744567754653059,0.08833543285332818,0.0852108405736272,0.44876325088339225,0.254416961130742,0.17667844522968199,4,0.1295
1013,-0.4304494855642473,-0.40366367995526764,-0.45008752868917773,0.5076923076923077,0.2,0.11538461538461539,4,0.7506
1014,0.5136711271125124,0.5674718237584313,0.8881583944678346,0.5092592592592593,0.17592592592592593,0.16666666666666666,0,0.9601
1016,-0.19051800754928563,-0.17213468569239904,-0.3608711338120436,0.504950495049505,0.18316831683168316,0.16831683168316833,2,0.9764
1017,-0.514815635354061,-0.5740947451765459,-0.539303923566312,0.4935064935064935,0.23376623376623376,0.18181818181818182,4,0.2732
1018,-0.361200969551799,-0.40044799947939447,-0.45008752868917773,0.4961832061068702,0.17557251908396945,0.19083969465648856,2,-0.4404
1019,-0.7079312152197619,-0.7380944494460778,-0.8961695030748486,0.5384615384615384,0.19230769230769232,0.19230769230769232,4,0.0
102,0.145483594792805,0.14621768141904534,0.0852108405736272,0.4950166112956811,0.2059800664451827,0.1760797342192691,2,0.9856
1020,-0.07445359338757652,-0.056370188560964714,-0.628520318443446,0.41596638655462187,0.19327731092436976,0.21428571428571427,2,0.9664
1021,-0.16272106802316202,-0.1624876442647795,-0.7177367133205802,0.48292682926829267,0.2048780487804878,0.2048780487804878,4,-0.7936
1022,-0.019347379941050777,-0.04993882760921836,-0.27165473893490943,0.44166666666666665,0.20833333333333334,0.17083333333333334,0,0.9449
1023,0.05429012652289071,0.13335495951555262,0.2636436303278955,0.46464646464646464,0.18518518518518517,0.19528619528619529,0,0.8384
1024,0.6863047515379117,0.6478638356552607,0.8881583944678346,0.474835886214442,0.19037199124726478,0.19912472647702406,2,0.9779
1025,-0.6440470208702498,-0.6609181180251217,-0.7177367133205802,0.44,0.26,0.14,2,0.8625
1026,-0.030076023266923047,-0.06280154951271107,0.17442723545076136,0.4703389830508475,0.22033898305084745,0.17372881355932204,4,0.9864
1027,-0.14565277182291067,-0.14640924188541363,-0.09322194918064113,0.5333333333333333,0.21904761904761905,0.15714285714285714,2,-0.9719
1028,0.32055554724681157,0.43241324377175794,0.8881583944678346,0.4794871794871795,0.18461538461538463,0.1717948717948718,2,0.9968
103,-0.05250864113011052,-0.014566342374613435,0.3528600252050297,0.4541832669322709,0.17928286852589642,0.22709163346613545,2,-0.9759
1030,0.1323166234383254,0.18802152760539662,0.2636436303278955,0.4713375796178344,0.20382165605095542,0.17834394904458598,3,-0.4779
1032,-0.33584235805428275,-0.3329187094860578,-0.45008752868917773,0.4605263157894737,0.16447368421052633,0.17763157894736842,4,0.4215
1033,0.5005041557580329,0.48707981186160193,0.6205092098364321,0.4914004914004914,0.21621621621621623,0.171990171990172,4,-0.6249
1034,0.21229378277664596,0.15586472284666486,0.3528600252050297,0.4901315789473684,0.21052631578947367,0.20065789473684212,1,0.93
1036,-0.2948784471736795,-0.32648734853431144,-0.1824383440577753,0.4675324675324675,0.18181818181818182,0.2077922077922078,4,0.0772
1038,-0.4777530493192296,-0.4969184137555897,-0.45008752868917773,0.5346534653465347,0.2376237623762376,0.10891089108910891,4,0.6249
104,-0.18027702982913482,-0.15927196378890632,0.0852108405736272,0.558252427184466,0.13106796116504854,0.15048543689320387,2,-0.2471
